original_Nr. Matricola,original_Cod. Cli/For,original_RAGIONESOCIALE,original_Commessa,original_Cod. Dest.,original_H2DES,original_INDIRIZZO,original_CITTA,original_CAP,original_PROVINCIA,original_NAZIONE,original_LONG,original_LAT,original_Fatt-Fitt,lat,lon,formatted,name,housenumber,district,street,postcode,suburb,city,county,county_code,state,state_code,country,country_code,confidence,confidence_city_level,confidence_street_level,attribution,attribution_license,attribution_url
L93699109,1201001608,COSTAT SRL COSTRUZIONI STAMPI ENGINEERING,LB051,,Linea LEM_93,VIA MONVISO 23,VILLARBASSE,10090,TO,Italia,7.497056048,45.04962992,3828,45.049075,7.497188,"Via Monviso, 23, 10090 Comune di Villarbasse Torino, Italia",,23,,Via Monviso,10090,,Comune di Villarbasse,Torino,TO,Piemonte,PIE,Italia,it,1,1,1,© OpenAddresses contributors,BSD-3-Clause License,
L93701138,1201000789,OFFICINE S. GIACOMO SRL,LB081,,Linea LEM_93,VIA MEUCCI 14/18,VITTORIO VENETO,31029,TV,Italia,12.312177500,45.9525033,1180,,,,,,,,,,,,,,,,,,,,,,
L93704176,1201001635,FAZZINI FULVIO LAME IND. SNC DI FAZZINI A. & C.,LB119,,Linea LEM_93,VIALE DEL COMMERCIO 10,VERONA,37135,VR,Italia,10.803333300,45.538563,-2568,45.4098616,10.9814203,"Viale del Commercio, 10, 37135 Verona VR, Italia",,10,,Viale del Commercio,37135,Borgo Roma,Verona,Verona,VR,Veneto,VEN,Italia,it,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
L93794017,1201000104,TECNODINAMICA SRL,3294,,Obsoleta,VIALE EUROPA 37/38 Z.I.,FARRA DI SOLIGO,31010,TV,Italia,12.153608314,45.89905248,-1423,,,,,,,,,,,,,,,,,,,,,,
L93894024,1201000045,C.A.M. SRL,6294,,Obsoleta,VIA SELICE 2/F,MORDANO,40027,BO,Italia,11.760354914,44.40677305,2333,44.398435,11.811478,"40027 Comune di Mordano (Mordano), Italia",,,Comune di Mordano,,40027,,Mordano,Bologna,BO,Emilia-Romagna,EMI,Italia,it,0.5,1,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
L93899119,1201000090,SIMEC S.P.A. MACC.LAVORAZIONE,LB061,,Linea LEM_93,VIA E. FERMI 4,CASTELLO DI GODEGO,31030,TV,Italia,11.876809298,45.69066429,2438,45.69053015,11.8749504345953,"SIMEC SPA, Via Enrico Fermi, 4, 31030 Castello di Godego TV, Italia",SIMEC SPA,4,Comune di Castello di Godego,Via Enrico Fermi,31030,Santa Giustina,Castello di Godego,Treviso,TV,Veneto,VEN,Italia,it,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
LM0401079,1201001242,AUTOMODEL SRL,LM080,,Linea SIRIO_M,VIA MARCONI 28/5,ARESE,20020,MI,Italia,9.088313996,45.53902718,4218,,,,,,,,,,,,,,,,,,,,,,
LM0499030,1201001068,FRANCI SRL,LM031,1,Linea SIRIO_M,VIA ALLE FORNACI 27,VALMADRERA,23968,LC,Italia,9.360226851,45.8403161,4096,45.83823,9.361955,"Via Fornaci, 27, 23968 Valmadrera LC, Italia",,27,Comune di Valmadrera,Via Fornaci,23968,,Valmadrera,Lecco,LC,Lombardia,LOM,Italia,it,1,1,1,© OpenAddresses contributors,BSD-3-Clause License,
LM0499040,1201000986,KARL MAYER ROTAL SRL,LM041,,Linea SIRIO_M,VIA TRENTO 136,MEZZOLOMBARDO,38017,TN,Italia,11.104271169,46.19749283,-4987,,,,,,,,,,,,,,,,,,,,,,
LM0598025,1201000928,CASTEF SRL,LM026,,Linea SIRIO_M,LOCALITA' GERETTA 8,EUPILIO,22030,CO,Italia,9.249754356,45.80441724,-2347,45.8182246,9.2646735,"Eupilio, LOM, Italia",,,,,,,Eupilio,Como,CO,Lombardia,LOM,Italia,it,0.25,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
